Id,Comfort,Floor,FurnishedAndFit,LivingSurface,Neighborhood,NumberOfBathrooms,NumberOfParkingSpaces,NumberOfRooms,Partitioning,PossibilityOfParking,Price,PropertyStatus,PropertyType,TotalNumberOfFloors,YearBuilt
5FBD2D9D-0CDE-4E47-9CDC-07C05B723E30,1,3,-,50,Tudor Vladimirescu,0,0,2,Nedecomandat,False,48000,Bun,Bloc de apartamente,0,1970
CCAA6C6B-5A59-4DA7-B0C0-07C16269F3D9,-,2,-,29,Tatarasi,0,0,1,Decomandat,False,35600,-,-,0,2016
A02484AF-CADB-4D64-AE5A-07CF7BFB06C6,-,3,-,48,Tatarasi,0,0,2,Semidecomandat,False,37500,-,-,0,1970
D1D4AA7E-5DA5-48E8-853E-07E409E224CD,1,7,-,86,Nicolina,2,0,4,Decomandat,False,78000,Bun,Bloc de apartamente,8,1988
AD5EC87A-A781-41B3-9160-07EF92ABDA62,Lux,3,Nemobilat,58,Pacurari,1,1,2,Decomandat,True,39500,Nou,Bloc de apartamente,7,2018
C5DBD673-09A0-476F-95E6-08090BF342D1,-,4,-,50,Podu Ros,0,0,2,Semidecomandat,False,39600,-,-,0,1977
901C1206-C084-4350-9D84-080D1680E8B3,-,4,-,60,Tatarasi,0,0,3,Semidecomandat,False,45000,-,-,0,1970
09D49F9C-223B-4F08-BDFE-08125815F88B,-,3,-,35,Aeroport,0,0,2,Semidecomandat,False,27000,-,-,0,1978
AE8EAEA8-C564-4471-8627-0814F866364F,-,1,-,77,Tudor Vladimirescu,0,0,3,Decomandat,False,91000,-,-,0,2018
B7452425-BA10-48FD-801A-081788271BBD,-,2,-,50,Tatarasi,0,0,2,Decomandat,False,57000,-,-,0,2018
23D7BD51-D48C-4380-9A67-081B987851E0,2,3,Nemobilat,30,Tudor Vladimirescu,1,0,2,Nedecomandat,False,31500,Bun,Bloc de apartamente,3,1963
D637F9D0-3ED8-4694-84CB-081DAC63F94A,-,1,-,64,Pacurari,0,0,2,Decomandat,False,62000,-,-,0,2017
A52E289F-49EF-4177-9D9B-08271409EF14,-,1,Nemobilat,60,Miroslava,0,0,3,Semidecomandat,False,52000,Nou,Bloc de apartamente,3,2018
72F1313C-1419-432B-80A5-082B634FE210,-,1,-,45,Valea Adanca,0,0,2,Decomandat,False,40000,-,-,0,2017
1822E5D9-971C-4FAA-BA83-083713A1AA28,-,6,Complet,32,Tatarasi,0,0,2,Decomandat,False,40500,Bun,Bloc de apartamente,7,2013
0FE8539F-ECC2-48E7-BE5D-083D2D808805,Lux,1,-,51,Valea Adanca,0,0,2,Decomandat,False,38250,Nou,Bloc de apartamente,0,2017
24E1683B-F4AD-4718-ACF3-0846F4F803DB,-,0,-,0,Nord-Est,0,0,0,-,False,32,-,-,0,0
B48810EA-61CB-40AA-9213-084F076452F9,-,8,-,69,Nicolina,0,0,3,Decomandat,False,50000,-,-,0,1986
85517A91-5A77-46BE-BA07-08507CCAF1EB,-,7,-,29,Cug,0,0,1,Semidecomandat,False,25000,-,-,0,2018
62B8E396-0A42-4A7B-9072-086398E80675,-,0,Nemobilat,175,Galata,0,0,5,-,False,165000,Nou,-,0,2017
78FCF60B-C2DB-41C4-BA7A-0876D5F85F1C,-,2,-,58,Moara de Vant,0,0,2,Decomandat,False,58000,-,-,0,2016
C2C4628D-6465-4DE1-94B7-087B69E72BBF,-,0,Parial,76,Valea Adanca,0,0,3,-,False,65000,Nou,-,0,2017
2DC9886E-DEF3-491C-8595-088C6B0A271F,-,1,-,51,Copou,0,0,2,Decomandat,False,52017,-,-,0,2019
5D3BCA03-67B8-43E9-B2A0-088F077A5C32,-,4,-,72,Bicaz,0,0,3,Decomandat,False,59900,-,-,0,1980
